id,restaurant_id,restaurant_name,name,category,price,spicy,salty,sweet,portion,value,speed,signature,available,tags,source,last_checked,recommend_note,food_character
M001,C001,리코리코,닭고기 부리또,햄버거,5000,2,3,3,4,5,4,true,true,"[""가성비"",""혼밥"",""빠른식사"",""든든함"",""포장"",""배달"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,,quick-snack
M002,C001,리코리코,소고기 부리또,햄버거,5800,2,3,3,4,5,4,true,true,"[""가성비"",""혼밥"",""빠른식사"",""든든함"",""포장"",""배달"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,,quick-snack
M003,C001,리코리코,섞어 부리또,햄버거,5000,2,3,3,4,5,4,true,true,"[""가성비"",""혼밥"",""빠른식사"",""든든함"",""포장"",""배달"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,,quick-snack
M004,C001,리코리코,치킨텐더 부리또,햄버거,6500,2,3,3,3,5,4,true,true,"[""가성비"",""혼밥"",""빠른식사"",""든든함"",""포장"",""배달"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,,quick-snack
M005,C001,리코리코,제육 부리또,햄버거,6000,2,3,3,4,5,4,true,true,"[""가성비"",""혼밥"",""빠른식사"",""든든함"",""포장"",""배달"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,,quick-snack
M006,C002,달인의찜닭,달인 순살 찜닭,찜/탕,23000,3,3,3,4,3,2,true,true,"[""단체"",""데이트"",""든든함"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,,main-dish
M007,C002,달인의찜닭,달인 치즈순살 찜닭,찜/탕,26000,3,3,3,4,3,2,true,true,"[""단체"",""데이트"",""든든함"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,,main-dish
M008,C003,엄마손,두루치기,한식,11000,2,2,4,3,3,3,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게""]",메뉴판 사진,2026-06-17T00:00:00,,main-dish
M009,C003,엄마손,된장찌개,한식,6000,1,3,2,2,4,3,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게""]",메뉴판 사진,2026-06-17T00:00:00,,hot-soup
M010,C003,엄마손,김치찌개,한식,6000,1,3,2,2,4,3,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게""]",메뉴판 사진,2026-06-17T00:00:00,,hot-soup
